cell_line,condition,n_cells
hepg2,CLCC1,27
hepg2,CLOCK,200
hepg2,CLPB,37
hepg2,CMPK1,50
hepg2,CMTR1,56
hepg2,CMTR2,32
hepg2,CNOT10,81
hepg2,CNOT11,44
hepg2,CNOT2,28
hepg2,CNOT9,48
hepg2,COA5,45
hepg2,COASY,30
hepg2,COG1,53
hepg2,COG4,36
hepg2,COG6,61
hepg2,COMTD1,41
hepg2,COPB1,19
hepg2,COPS2,70
hepg2,COPS4,58
hepg2,COQ4,45
hepg2,COQ5,30
hepg2,COTL1,58
hepg2,COX10,62
hepg2,COX11,89
hepg2,COX5A,32
hepg2,COX7B,22
hepg2,COX7C,41
hepg2,CPSF1,58
hepg2,CPSF3,189
hepg2,CPSF4,63
hepg2,CPSF6,34
hepg2,CRLS1,16
hepg2,CS,73
hepg2,CSE1L,219
hepg2,CSNK1A1,16
hepg2,CSNK2B,106
hepg2,CSTF3,67
hepg2,CTCF,38
hepg2,CTPS1,26
hepg2,CTU2,56
hepg2,CUL2,70
hepg2,CUL3,21
hepg2,CUL7,53
hepg2,CWC15,42
hepg2,CWC22,31
hepg2,CWC25,26
hepg2,CWF19L2,23
hepg2,CYC1,28
hepg2,CYREN,39
hepg2,DAP3,51
hepg2,DARS,41
hepg2,DAXX,39
hepg2,DCTN1,64
hepg2,DCTN3,77
hepg2,DCTN4,61
hepg2,DDB1,64
hepg2,DDX1,48
hepg2,DDX10,89
hepg2,DDX11,27
hepg2,DDX18,62
hepg2,DDX23,148
hepg2,DDX3X,28
hepg2,DDX41,31
hepg2,DDX42,17
hepg2,DDX46,89
hepg2,DDX5,92
hepg2,DDX52,92
hepg2,DDX55,134
hepg2,DENR,47
hepg2,DHPS,35
hepg2,DHX16,68
hepg2,DHX29,34
hepg2,DHX33,30
hepg2,DHX36,39
hepg2,DHX37,119
hepg2,DHX8,53
hepg2,DKC1,39
hepg2,DLD,98
hepg2,DMAP1,24
hepg2,DNAJC17,60
hepg2,DNAJC8,78
hepg2,DNM1L,37
hepg2,DNMT1,80
hepg2,DNTTIP2,52
hepg2,DOLK,71
hepg2,DPAGT1,29
hepg2,DPH6,41
hepg2,DPM2,28
hepg2,DPY19L4,80
hepg2,DR1,23
hepg2,DRG1,32
hepg2,DSN1,26
hepg2,DSTYK,69
hepg2,DTL,60
hepg2,DYNC1H1,17
hepg2,DYNC1I2,46
hepg2,DYNLL2,79
hepg2,EARS2,50
hepg2,EBNA1BP2,52
hepg2,ECD,33
hepg2,EDC4,47
hepg2,EEF1B2,29
hepg2,EEF2,46
hepg2,EEFSEC,49
hepg2,EFR3A,70
hepg2,EGLN2,48
hepg2,EHMT2,95
hepg2,EIF1AD,39
hepg2,EIF1AX,67
hepg2,EIF2B1,177
hepg2,EIF2B5,111
hepg2,EIF2S1,69
hepg2,EIF2S2,62
hepg2,EIF2S3,48
hepg2,EIF3B,105
hepg2,EIF3E,25
hepg2,EIF3I,83
hepg2,EIF3J,43
hepg2,EIF3L,40
hepg2,EIF4A1,35
hepg2,EIF4A3,123
hepg2,EIF4E,52
hepg2,EIF4G2,45
hepg2,EIF4H,47
hepg2,EIF5,29
hepg2,EIF6,92
hepg2,ELL,230
hepg2,ELOB,59
hepg2,ELOF1,32
hepg2,ELOVL1,58
hepg2,ELP6,34
hepg2,ENO1,44
hepg2,ENY2,72
hepg2,ERAL1,34
hepg2,ERCC2,54
hepg2,ESF1,124
hepg2,ESYT1,38
hepg2,ETF1,72
hepg2,EWSR1,21
hepg2,EXOC1,43
hepg2,EXOC2,43
hepg2,EXOC3,39
hepg2,EXOC4,47
hepg2,EXOC5,62
hepg2,EXOC7,65
hepg2,EXOSC1,34
hepg2,EXOSC10,29
hepg2,EXOSC2,114
hepg2,EXOSC3,82
hepg2,EXOSC7,45
hepg2,F8A1,32
hepg2,FAM133B,24
hepg2,FAM136A,261
hepg2,FAM32A,53
hepg2,FARSA,45
hepg2,FASN,28
hepg2,FBL,27
hepg2,FBXO5,29
hepg2,FBXW7,50
hepg2,FDPS,26
hepg2,FDXR,35
hepg2,FEN1,28
hepg2,FKBP9,77
hepg2,FNTB,30
hepg2,FOXO1,43
hepg2,FTSJ3,27
hepg2,FXN,30
hepg2,GABPB1,42
hepg2,GAK,27
hepg2,GARS,53
hepg2,GART,60
hepg2,GCLC,64
hepg2,GEMIN4,32
hepg2,GEMIN7,28
hepg2,GEMIN8,29
hepg2,GET3,27
hepg2,GFER,43
hepg2,GFM1,717
hepg2,GGPS1,36
hepg2,GINS2,60
hepg2,GIT2,38
hepg2,GLB1,51
hepg2,GLE1,97
hepg2,GLMN,26
hepg2,GLRX3,33
hepg2,GMPS,26
hepg2,GNL3,98
hepg2,GNL3L,59
hepg2,GNPAT,30
hepg2,GNPNAT1,78
hepg2,GOSR2,29
hepg2,GPN1,54
hepg2,GPN3,80
hepg2,GRSF1,61
hepg2,GRWD1,55
hepg2,GSK3B,55
hepg2,GTF2B,24
hepg2,GTF2E1,53
hepg2,GTF2F2,73
hepg2,GTF2H2,28
hepg2,GTF2H3,31
hepg2,GTF3A,40
hepg2,GTF3C2,56
hepg2,GTF3C4,462
hepg2,GTF3C5,28
hepg2,GYG1,59
hepg2,H2AFX,40
hepg2,H2AFZ,65
hepg2,H3F3A,38
hepg2,HAMP,40
hepg2,HAUS8,53
hepg2,HCFC1,25
hepg2,HDAC7,44
hepg2,HECTD1,37
hepg2,HGS,42
hepg2,HHEX,48
hepg2,HIPK1,38
hepg2,HJURP,76
hepg2,HMBOX1,60
hepg2,HMGA1,47
hepg2,HMGB3,29
hepg2,HMGCS1,56
hepg2,HNRNPDL,41
hepg2,HNRNPH1,48
hepg2,HNRNPK,41
hepg2,HNRNPM,29
hepg2,HPS5,36
hepg2,HS6ST1,58
hepg2,HSD17B10,217
hepg2,HSPA14,43
hepg2,HSPA5,91
hepg2,HSPA8,49
hepg2,HSPA9,98
hepg2,HSPE1,84
hepg2,HSPH1,21
hepg2,HTATSF1,27
hepg2,IARS,31
hepg2,ICE1,43
hepg2,IFITM3,27
hepg2,IGBP1,48
hepg2,ILF2,46
hepg2,IMPA2,58
hepg2,IMPDH2,85
hepg2,INF2,42
hepg2,ING3,53
hepg2,INO80B,44
hepg2,INO80C,44
hepg2,INO80D,25
hepg2,INO80E,26
hepg2,INPPL1,31
hepg2,INTS10,40
hepg2,INTS11,74
hepg2,INTS13,153
hepg2,INTS3,71
hepg2,INTS4,60
hepg2,INTS9,87
hepg2,IPO11,56
hepg2,IPO7,71
hepg2,IPO9,42
hepg2,IRF2BP2,12
hepg2,ISCA2,66
hepg2,ISCU,79
hepg2,ISG20L2,69
hepg2,IST1,45
hepg2,ISY1,21
hepg2,JMJD6,60
hepg2,KANSL1,36
hepg2,KAT8,30
hepg2,KCMF1,38
hepg2,KDM1A,44
hepg2,KDM5C,28
hepg2,KDM6A,87
hepg2,KIAA0586,34
hepg2,KIAA1143,51
hepg2,KIF11,84
hepg2,KIF18B,79
hepg2,KIF4A,24
hepg2,KPNB1,46
hepg2,KRI1,63
hepg2,KRR1,35
hepg2,LAMB1,32
hepg2,LAMTOR1,100
hepg2,LAMTOR3,29
hepg2,LARS2,44
hepg2,LAS1L,78
hepg2,LDB1,44
hepg2,LETM1,69
hepg2,LRP5,50
hepg2,LRR1,82
hepg2,LSG1,82
hepg2,LSM12,61
hepg2,LSM3,29
hepg2,LSM4,42
hepg2,LSM5,86
hepg2,LSM6,55
hepg2,LSM7,62
hepg2,LYRM4,31
hepg2,MAD2L1,86
hepg2,MAD2L2,84
hepg2,MAK16,37
hepg2,MALSU1,37
hepg2,MAP2K7,53
hepg2,MARS,42
hepg2,MASTL,48
hepg2,MAX,43
hepg2,MBD3,30
hepg2,MBIP,37
hepg2,MBNL1,84
hepg2,MBTPS1,114
hepg2,MBTPS2,90
hepg2,MCM2,40
hepg2,MCM3,132
hepg2,MCM3AP,56
hepg2,MCM4,21
hepg2,MCM6,123
hepg2,MED11,86
hepg2,MED16,46
hepg2,MED17,32
hepg2,MED19,110
hepg2,MED26,31
hepg2,MED29,36
hepg2,MED30,36
hepg2,MED4,130
hepg2,MEN1,56
hepg2,MEPCE,24
hepg2,METAP1,31
hepg2,METAP2,35
hepg2,METTL1,33
hepg2,METTL17,30
hepg2,MICOS10,54
hepg2,MIOS,62
hepg2,MIPEP,41
hepg2,MIS12,34
hepg2,MIS18A,25
hepg2,MIS18BP1,79
hepg2,MLST8,27
hepg2,MMS19,48
hepg2,MNAT1,67
hepg2,MON1A,92
hepg2,MPG,29
hepg2,MPHOSPH10,79
hepg2,MRGBP,110
hepg2,MRM1,32
hepg2,MRPL1,32
hepg2,MRPL14,44
hepg2,MRPL15,24
hepg2,MRPL17,27
hepg2,MRPL18,34
hepg2,MRPL28,27
hepg2,MRPL3,64
hepg2,MRPL34,366
hepg2,MRPL36,397
hepg2,MRPL37,32
hepg2,MRPL38,50
hepg2,MRPL41,50
hepg2,MRPL43,21
hepg2,MRPL44,20
hepg2,MRPL46,26
hepg2,MRPL51,40
hepg2,MRPL54,48
hepg2,MRPS16,48
hepg2,MRPS17,48
hepg2,MRPS2,26
hepg2,MRPS21,80
hepg2,MRPS23,39
hepg2,MRPS25,36
hepg2,MRPS33,40
hepg2,MRPS35,32
hepg2,MRPS6,62
hepg2,MRPS7,36
hepg2,MRPS9,30
hepg2,MRTO4,18
hepg2,MSRB1,37
hepg2,MST1,31
hepg2,MTHFD1,33
hepg2,MTREX,23
hepg2,MYBBP1A,64
hepg2,MYBL2,129
hepg2,MYCBP,44
hepg2,MYSM1,37
hepg2,MZT1,31
hepg2,NAA10,31
hepg2,NAA20,37
hepg2,NAA50,56
hepg2,NACA,44
hepg2,NAF1,95
hepg2,NAPA,21
hepg2,NCAPG,28
hepg2,NCAPG2,44
hepg2,NCAPH2,53
hepg2,NCBP2,17
hepg2,NCOA4,13
hepg2,NDC1,45
hepg2,NDUFA2,31
hepg2,NDUFA3,36
hepg2,NDUFAF3,39
hepg2,NDUFAF5,34
hepg2,NDUFAF7,36
hepg2,NDUFB4,32
hepg2,NDUFB8,33
hepg2,NDUFS3,26
hepg2,NELFA,43
hepg2,NELFCD,49
hepg2,NEMF,43
hepg2,NFATC2IP,53
hepg2,NFKBIE,31
hepg2,NFRKB,67
hepg2,NFS1,84
hepg2,NFYB,90
hepg2,NFYC,100
hepg2,NHP2,39
hepg2,NKAPD1,57
hepg2,NOC2L,23
hepg2,NOC3L,82
hepg2,NOL11,53
hepg2,NOL12,63
hepg2,NOL7,41
hepg2,NOL8,120
hepg2,NOL9,36
hepg2,NOMO1,54
hepg2,NOP9,44
hepg2,NOS1AP,43
hepg2,NPM1,44
hepg2,NRBP1,45
hepg2,NRDE2,51
hepg2,NSF,38
hepg2,NSUN4,50
hepg2,NUB1,78
hepg2,NUBP1,27
hepg2,NUBP2,51
hepg2,NUDT15,37
hepg2,NUMA1,30
hepg2,NUP133,203
hepg2,NUP160,55
hepg2,NUP205,26
hepg2,NUP35,51
hepg2,NUP54,34
hepg2,NUP85,133
hepg2,NUTF2,80
hepg2,OGFOD1,55
hepg2,OIP5,40
hepg2,OPA1,39
hepg2,ORC1,62
hepg2,ORC3,31
hepg2,ORC6,51
hepg2,OSGEP,37
hepg2,OSTC,34
hepg2,PABPC1,60
hepg2,PABPC4,52
hepg2,PABPN1,46
hepg2,PAF1,32
hepg2,PAFAH1B1,25
hepg2,PALB2,48
hepg2,PAM16,56
hepg2,PAXBP1,77
hepg2,PCID2,55
hepg2,PCM1,17
hepg2,PCNX3,57
hepg2,PDAP1,33
hepg2,PDCD2,28
hepg2,PDCD6,32
hepg2,PDCD7,29
hepg2,PDHA1,55
hepg2,PDRG1,49
hepg2,PELP1,81
hepg2,PET117,49
hepg2,PEX19,50
hepg2,PFDN2,44
hepg2,PFDN6,32
hepg2,PGAM5,38
hepg2,PGD,30
hepg2,PGS1,33
hepg2,PHAX,70
hepg2,PHB2,49
hepg2,PI4KA,216
hepg2,PIGH,30
hepg2,PLK4,199
hepg2,PMPCB,106
hepg2,PNKP,40
hepg2,PNN,141
hepg2,PNO1,50
hepg2,POGZ,37
hepg2,POLA1,57
hepg2,POLA2,25
hepg2,POLD2,35
hepg2,POLG2,31
hepg2,POLR1D,60
hepg2,POLR2A,20
hepg2,POLR2D,67
hepg2,POLR2F,59
hepg2,POLR2G,39
hepg2,POLR2H,36
hepg2,POLR2I,130
hepg2,POLR2M,79
hepg2,POLR3D,53
hepg2,POLR3E,49
hepg2,POLR3F,51
hepg2,POLR3H,35
hepg2,POLRMT,62
hepg2,POP4,81
hepg2,POP5,86
hepg2,POP7,60
hepg2,PPA1,52
hepg2,PPA2,35
hepg2,PPIA,49
hepg2,PPIH,29
hepg2,PPIL2,55
hepg2,PPIL4,24
hepg2,PPME1,41
hepg2,PPP1R10,21
hepg2,PPP1R11,41
hepg2,PPP1R15B,33
hepg2,PPP1R2,99
hepg2,PPP1R8,68
hepg2,PPP2R1A,152
hepg2,PPP2R3C,33
hepg2,PPP6C,433
hepg2,PRIM2,34
hepg2,PRKCA,37
hepg2,PRMT1,23
hepg2,PRMT5,76
hepg2,PRORP,31
hepg2,PRPF18,47
hepg2,PRPF38A,28
hepg2,PRRC2A,41
hepg2,PSAT1,66
hepg2,PSMA2,26
hepg2,PSMA3,38
hepg2,PSMA6,19
hepg2,PSMA7,25
hepg2,PSMB2,48
hepg2,PSMB3,37
hepg2,PSMB4,33
hepg2,PSMB6,33
hepg2,PSMC1,45
hepg2,PSMC2,27
hepg2,PSMC4,47
hepg2,PSMC5,100
hepg2,PSMC6,27
hepg2,PSMD1,20
hepg2,PSMD11,24
hepg2,PSMD12,18
hepg2,PSMD4,25
hepg2,PSMD6,26
hepg2,PSMD9,23
hepg2,PSME2,37
hepg2,PSMG1,49
hepg2,PTCD1,46
hepg2,PTCD3,32
hepg2,PTGR2,35
hepg2,PTK2,26
hepg2,PTPMT1,44
hepg2,PTPN11,50
hepg2,PXN,54
hepg2,PYROXD1,58
hepg2,QARS,65
hepg2,RAB18,22
hepg2,RAB6A,30
hepg2,RABGGTA,240
hepg2,RABGGTB,78
hepg2,RAC3,87
hepg2,RAD17,26
hepg2,RAD51D,36
hepg2,RAD9A,45
hepg2,RAE1,43
hepg2,RAMAC,39
hepg2,RAN,56
hepg2,RANBP2,15
hepg2,RARS2,84
hepg2,RBBP4,39
hepg2,RBM10,168
hepg2,RBM15,72
hepg2,RBM17,32
hepg2,RBM25,21
hepg2,RBM28,72
hepg2,RBM33,45
hepg2,RBM39,50
hepg2,RBM42,58
hepg2,RBM48,51
hepg2,RBM8A,13
hepg2,RCL1,102
hepg2,REXO2,27
hepg2,RFC2,50
hepg2,RFC4,35
hepg2,RFC5,48
hepg2,RINT1,39
hepg2,RIOK2,24
hepg2,RMI1,35
hepg2,RNASEH2C,123
hepg2,RNF103,34
hepg2,RNF113A,35
hepg2,RNF20,25
hepg2,RNF31,68
hepg2,RNMT,47
hepg2,RNPS1,20
hepg2,RPA1,34
hepg2,RPAIN,29
hepg2,RPAP1,53
hepg2,RPAP2,51
hepg2,RPE,23
hepg2,RPIA,49
hepg2,RPL10,69
hepg2,RPL11,35
hepg2,RPL12,79
hepg2,RPL14,57
hepg2,RPL17,75
hepg2,RPL18,77
hepg2,RPL19,25
hepg2,RPL21,26
hepg2,RPL23A,66
hepg2,RPL26,81
hepg2,RPL26L1,27
hepg2,RPL29,46
hepg2,RPL32,96
hepg2,RPL34,42
hepg2,RPL35,81
hepg2,RPL35A,178
hepg2,RPL36AL,28
hepg2,RPL37A,71
hepg2,RPL38,36
hepg2,RPL39,29
hepg2,RPL4,92
hepg2,RPL5,44
hepg2,RPL7,112
hepg2,RPL9,61
hepg2,RPLP0,85
hepg2,RPP30,77
hepg2,RPS10,41
hepg2,RPS11,39
hepg2,RPS15,55
hepg2,RPS15A,33
hepg2,RPS19BP1,61
hepg2,RPS2,82
hepg2,RPS20,44
hepg2,RPS24,61
hepg2,RPS25,30
hepg2,RPS27,91
hepg2,RPS27A,109
hepg2,RPS28,31
hepg2,RPS29,59
hepg2,RPS3,45
hepg2,RPS3A,52
hepg2,RPS4X,47
hepg2,RPS6,63
hepg2,RPS8,56
hepg2,RPSA,36
hepg2,RPTOR,25
hepg2,RPUSD3,75
hepg2,RRM2,37
hepg2,RRN3,67
hepg2,RRP1,23
hepg2,RRP12,66
hepg2,RRP15,42
hepg2,RRP7A,67
hepg2,RSL1D1,116
hepg2,RSL24D1,37
hepg2,RTF1,22
hepg2,RUVBL1,43
hepg2,RUVBL2,30
hepg2,SAMD4B,43
hepg2,SAMM50,25
hepg2,SAP18,30
hepg2,SAP30BP,27
hepg2,SARS2,35
hepg2,SART3,337
hepg2,SASS6,61
hepg2,SBDS,20
hepg2,SBNO1,45
hepg2,SCAF1,79
hepg2,SCAP,93
hepg2,SCD,68
hepg2,SCFD1,46
hepg2,SDAD1,66
hepg2,SDC1,59
hepg2,SDHAF2,67
hepg2,SDHC,34
hepg2,SEC16A,77
hepg2,SEC61A1,80
hepg2,SEC61G,70
hepg2,SENP6,25
hepg2,SEPHS2,52
hepg2,SEPSECS,51
hepg2,SET,18
hepg2,SETD1A,78
hepg2,SETD2,26
hepg2,SETD5,46
hepg2,SETDB1,62
hepg2,SF1,27
hepg2,SF3A2,96
hepg2,SF3A3,21
hepg2,SF3B1,43
hepg2,SF3B5,94
hepg2,SFPQ,52
hepg2,SFSWAP,25
hepg2,SGPP1,29
hepg2,SHOC2,58
hepg2,SIRT7,200
hepg2,SKA3,57
hepg2,SLBP,43
hepg2,SLC16A5,54
hepg2,SLC25A3,28
hepg2,SLC25A42,69
hepg2,SLC2A8,63
hepg2,SLC35A4,28
hepg2,SLC39A10,29
hepg2,SLC39A9,45
hepg2,SLC7A6OS,47
hepg2,SLU7,290
hepg2,SMAGP,40
hepg2,SMARCC1,19
hepg2,SMC1A,69
hepg2,SMC4,26
hepg2,SMG1,18
hepg2,SMG5,153
hepg2,SMG6,38
hepg2,SMG7,32
hepg2,SMG8,26
hepg2,SMN2,446
hepg2,SMNDC1,37
hepg2,SMUG1,47
hepg2,SNAPC1,27
hepg2,SNIP1,34
hepg2,SNRNP200,92
hepg2,SNRNP40,60
hepg2,SNRNP70,57
hepg2,SNRPB,37
hepg2,SNRPC,100
hepg2,SNRPD1,29
hepg2,SNRPD3,36
hepg2,SNRPF,28
hepg2,SP1,77
hepg2,SPAG7,40
hepg2,SPCS3,41
hepg2,SPEN,22
hepg2,SPG7,51
hepg2,SPRTN,38
hepg2,SPTLC1,29
hepg2,SPTSSA,38
hepg2,SRBD1,136
hepg2,SRP19,29
hepg2,SRP9,81
hepg2,SRRM1,35
hepg2,SRRM2,27
hepg2,SRSF1,30
hepg2,SRSF7,52
hepg2,SS18L2,34
hepg2,SSU72,178
hepg2,STAG2,29
hepg2,STARD7,23
hepg2,STAT5B,91
hepg2,STIL,110
hepg2,STRAP,42
hepg2,STRIP1,31
hepg2,STT3B,45
hepg2,STX18,26
hepg2,STX5,53
hepg2,SUGP1,29
hepg2,SUMO2,44
hepg2,SUPT16H,40
hepg2,SUPT20H,77
hepg2,SUPT5H,29
hepg2,SUPV3L1,25
hepg2,SURF6,63
hepg2,TACC3,63
hepg2,TADA1,63
hepg2,TADA2B,39
hepg2,TADA3,33
hepg2,TAF10,47
hepg2,TAF11,55
hepg2,TAF13,130
hepg2,TAF1B,41
hepg2,TAF1C,40
hepg2,TAF6,44
hepg2,TAF7,44
hepg2,TARDBP,190
hepg2,TARS2,61
hepg2,TBCB,43
hepg2,TBCC,38
hepg2,TBCD,60
hepg2,TBPL1,71
hepg2,TCERG1,33
hepg2,TCOF1,114
hepg2,TERF2,72
hepg2,TFAM,1057
hepg2,TFB1M,37
hepg2,TFB2M,28
hepg2,TFPT,39
hepg2,TGS1,48
hepg2,THAP11,83
hepg2,THOC6,59
hepg2,THOC7,201
hepg2,THRAP3,34
hepg2,THUMPD1,29
hepg2,TIGD1,41
hepg2,TIMM10,53
hepg2,TIMM13,66
hepg2,TIMM22,24
hepg2,TIMM23B,260
hepg2,TIMM44,44
hepg2,TIMM9,31
hepg2,TLN1,23
hepg2,TMEM127,39
hepg2,TMEM214,236
hepg2,TMEM242,202
hepg2,TMX2,68
hepg2,TNRC6A,81
hepg2,TOMM20,28
hepg2,TOMM22,66
hepg2,TONSL,82
hepg2,TOP1,29
hepg2,TOP3A,38
hepg2,TOPBP1,33
hepg2,TOX4,23
hepg2,TP53I13,46
hepg2,TP53RK,32
hepg2,TPI1,28
hepg2,TPP2,25
hepg2,TPR,65
hepg2,TPRKB,44
hepg2,TPX2,95
hepg2,TRA2B,28
hepg2,TRAPPC1,30
hepg2,TRAPPC3,64
hepg2,TRAPPC4,37
hepg2,TRAPPC5,99
hepg2,TRAPPC8,45
hepg2,TRIAP1,35
hepg2,TRMT112,60
hepg2,TRMT5,37
hepg2,TRNP1,14
hepg2,TRNT1,220
hepg2,TSEN2,56
hepg2,TSEN54,42
hepg2,TSR1,150
hepg2,TTC4,37
hepg2,TTF2,24
hepg2,TTI1,37
hepg2,TTK,72
hepg2,TUBA1B,76
hepg2,TUBB2A,84
hepg2,TUBE1,52
hepg2,TUBGCP2,57
hepg2,TUBGCP3,25
hepg2,TUBGCP4,38
hepg2,TUBGCP5,82
hepg2,TUFM,42
hepg2,TVP23C,32
hepg2,U2SURP,52
hepg2,UBA1,34
hepg2,UBA5,27
hepg2,UBA52,78
hepg2,UBAP1,36
hepg2,UBE2L3,42
hepg2,UBE2N,32
hepg2,UBE3C,30
hepg2,UBE3D,59
hepg2,UBL5,78
hepg2,UBQLN4,69
hepg2,UBR5,42
hepg2,UCHL5,34
hepg2,UFM1,32
hepg2,UHRF1,59
hepg2,UMPS,34
hepg2,UPF1,32
hepg2,UPF2,34
hepg2,UPF3A,22
hepg2,UQCC2,30
hepg2,UQCRC1,21
hepg2,URB1,74
hepg2,URM1,38
hepg2,UROD,49
hepg2,USP10,40
hepg2,USP14,83
hepg2,USP39,59
hepg2,USP8,36
hepg2,UTP11,35
hepg2,UTP20,83
hepg2,UTP23,88
hepg2,UTP25,26
hepg2,UXS1,45
hepg2,UXT,42
hepg2,VARS2,30
hepg2,VEZT,28
hepg2,VHL,27
hepg2,VMP1,10
hepg2,VPS13D,35
hepg2,VPS25,20
hepg2,VPS37A,29
hepg2,VPS37C,30
hepg2,VPS41,68
hepg2,WAC,24
hepg2,WARS,30
hepg2,WBP1,34
hepg2,WBP11,39
hepg2,WBP1L,31
hepg2,WDHD1,55
hepg2,WDR1,94
hepg2,WDR12,108
hepg2,WDR18,143
hepg2,WDR26,72
hepg2,WDR33,46
hepg2,WDR83OS,44
hepg2,WEE1,28
hepg2,WNK1,28
hepg2,WTAP,135
hepg2,XPO5,54
hepg2,XRCC2,36
hepg2,XRCC5,40
hepg2,XRN2,32
hepg2,YARS,56
hepg2,YARS2,34
hepg2,YBX3,19
hepg2,YEATS2,41
hepg2,YPEL5,40
hepg2,YTHDC1,49
hepg2,YY1,24
hepg2,ZBTB17,126
hepg2,ZBTB44,28
hepg2,ZC3H13,68
hepg2,ZC3H4,60
hepg2,ZCRB1,33
hepg2,ZDHHC7,424
hepg2,ZFC3H1,35
hepg2,ZMAT2,146
hepg2,ZMAT5,29
hepg2,ZNF236,196
hepg2,ZNF292,74
hepg2,ZNF317,28
hepg2,ZNF574,62
hepg2,ZNF787,52
hepg2,ZNF84,86
hepg2,ZNHIT1,30
hepg2,ZNHIT2,67
hepg2,ZNHIT3,134
hepg2,ZNHIT6,48
jurkat,AAMP,39
jurkat,AARS,54
jurkat,ABCB10,87
jurkat,ABCE1,41
jurkat,ABCF1,93
jurkat,ABT1,152
jurkat,ACD,39
jurkat,ACTB,128
jurkat,ACTR10,72
jurkat,ACTR6,100
jurkat,ADNP2,60
jurkat,AFG3L2,103
jurkat,AHCTF1,23
jurkat,AKIRIN2,63
jurkat,ALDOA,75
jurkat,ALG13,98
jurkat,ANAPC1,25
jurkat,ANAPC10,43
jurkat,ANLN,52
jurkat,AP2A1,59
jurkat,AP2S1,23
jurkat,ARGLU1,54
jurkat,ARID5B,131
jurkat,ARL2,39
jurkat,ARL6IP6,59
jurkat,ASCC3,99
jurkat,ATF4,41
jurkat,ATIC,32
jurkat,ATL2,63
jurkat,ATP11B,184
jurkat,ATP2A2,124
jurkat,ATP5F1B,63
jurkat,ATP5MD,36
jurkat,ATP5ME,120
jurkat,ATP5MF,214
jurkat,ATP5PD,142
jurkat,ATP6V0B,27
jurkat,ATP6V0D1,43
jurkat,ATP6V1A,26
jurkat,ATP6V1D,54
jurkat,ATP6V1F,28
jurkat,ATP6V1G1,67
jurkat,ATR,119
jurkat,ATRIP,52
jurkat,AURKAIP1,84
jurkat,BANF1,31
jurkat,BCS1L,78
jurkat,BDP1,52
jurkat,BET1,82
jurkat,BMP2K,37
jurkat,BNIP1,109
jurkat,BOD1L1,47
jurkat,BRCA1,130
jurkat,BRD8,53
jurkat,BRF1,95
jurkat,BRF2,57
jurkat,BRIX1,126
jurkat,BUB1B,42
jurkat,BUB3,21
jurkat,BUD23,31
jurkat,BYSL,100
jurkat,CABIN1,136
jurkat,CALR,68
jurkat,CARF,75
jurkat,CARS,62
jurkat,CASC3,54
jurkat,CAST,88
jurkat,CCAR1,65
jurkat,CCDC59,187
jurkat,CCDC6,783
jurkat,CCDC84,55
jurkat,CCNH,216
jurkat,CCNL1,67
jurkat,CCP110,42
jurkat,CCT4,46
jurkat,CCT7,31
jurkat,CD3EAP,170
jurkat,CDC123,39
jurkat,CDC5L,21
jurkat,CDC73,22
jurkat,CDK12,32
jurkat,CENPK,27
jurkat,CENPN,42
jurkat,CENPP,75
jurkat,CEP152,47
jurkat,CEP192,29
jurkat,CEP85,45
jurkat,CHCHD1,56
jurkat,CHCHD3,68
jurkat,CHCHD4,158
jurkat,CHD4,69
jurkat,CHEK1,21
jurkat,CHMP1A,40
jurkat,CHMP2A,21
jurkat,CHMP4B,69
jurkat,CHMP5,66
jurkat,CHTF18,144
jurkat,CIAO1,123
jurkat,CINP,61
jurkat,CLCC1,58
jurkat,CLNS1A,56
jurkat,CLOCK,424
jurkat,CLP1,25
jurkat,CLPB,82
jurkat,CMTR1,86
jurkat,CNOT10,91
jurkat,CNOT11,87
jurkat,CNOT2,151
jurkat,CNOT3,154
jurkat,CNOT9,28
jurkat,COA5,92
jurkat,COASY,88
jurkat,COG1,118
jurkat,COG4,56
jurkat,COMTD1,88
jurkat,COPE,64
jurkat,COPS2,55
jurkat,COPS4,73
jurkat,COQ2,141
jurkat,COQ4,79
jurkat,COQ5,60
jurkat,COTL1,94
jurkat,COX10,143
jurkat,COX11,242
jurkat,COX17,71
jurkat,COX5A,145
jurkat,COX7B,46
jurkat,COX7C,105
jurkat,CPOX,38
jurkat,CPSF1,121
jurkat,CPSF2,28
jurkat,CPSF3,337
jurkat,CPSF4,108
jurkat,CPSF6,47
jurkat,CRCP,43
jurkat,CRKL,39
jurkat,CRLS1,52
jurkat,CSE1L,36
jurkat,CSNK1A1,93
jurkat,CSNK2B,121
jurkat,CSTF3,49
jurkat,CTCF,25
jurkat,CTPS1,21
jurkat,CTU2,105
jurkat,CUL2,102
jurkat,CUL3,75
jurkat,CWC15,28
jurkat,CWC25,47
jurkat,CWF19L2,102
jurkat,CXXC1,149
jurkat,CYCS,71
jurkat,CYREN,78
jurkat,DAD1,72
jurkat,DAP3,96
jurkat,DARS,30
jurkat,DAXX,56
jurkat,DBF4,54
jurkat,DCTN5,56
jurkat,DDB1,80
jurkat,DDX10,124
jurkat,DDX18,78
jurkat,DDX23,51
jurkat,DDX3X,48
jurkat,DDX42,61
jurkat,DDX46,113
jurkat,DDX5,149
jurkat,DDX52,213
